NU_INSCRICAO;NU_ANO;TP_COR_RACA;CO_MUNICIPIO_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q007;Q021;Q020;Q023
210051770317;2021;1;3541000;599,9;673,5;622,7;624,0;760,0;C;A;B;-
210051332409;2021;3;3541000;480,3;485,8;483,4;524,8;680,0;D;A;B;-
210053097535;2021;1;3541000;501,8;524,1;506,3;616,8;560,0;H;A;B;-
210053040646;2021;1;3541000;409,5;564,0;585,4;471,7;640,0;C;B;B;-
210053521543;2021;3;3541000;;;;;;I;B;B;-
210051641298;2021;1;3541000;673,1;694,5;650,7;733,8;860,0;H;C;B;-
210051778401;2021;3;3541000;510,1;470,9;535,9;440,6;800,0;G;B;B;-
210051783032;2021;1;3541000;562,3;572,8;524,4;605,2;600,0;D;A;B;-
210054385224;2021;3;3541000;402,4;400,8;565,1;431,1;600,0;C;A;B;-
210052423780;2021;1;3541000;535,1;679,1;579,9;671,6;600,0;I;C;B;-
210052721261;2021;1;3541000;594,4;613,3;593,5;730,8;860,0;P;C;B;-
210053914486;2021;0;3541000;;524,7;404,7;;500,0;D;A;B;-
210051424140;2021;1;3541000;427,9;570,8;568,9;627,6;820,0;G;C;B;-
210052777456;2021;0;3541000;501,7;618,8;593,1;621,2;800,0;I;A;B;-
210054385348;2021;1;3541000;;586,1;503,5;;880,0;P;C;B;-
210051764496;2021;1;3541000;430,4;381,3;335,1;493,7;380,0;B;A;B;-
210054394993;2021;2;3541000;;462,1;519,3;;600,0;D;A;B;-
210053490260;2021;1;3541000;;;;;;D;B;B;-
210052264406;2021;3;3541000;493,8;584,9;532,7;508,2;540,0;H;B;B;-
210051203469;2021;3;3541000;;;;;;C;B;B;-
210052916712;2021;3;3541000;582,1;595,2;555,6;679,7;860,0;D;C;B;-
210053502026;2021;3;3541000;645,5;677,9;574,0;622,0;840,0;F;B;B;-
210051404107;2021;1;3541000;631,0;706,7;629,1;696,8;740,0;D;B;B;-
210053964890;2021;3;3541000;;;;;;D;B;B;-
210052808574;2021;1;3541000;513,2;531,8;488,2;595,8;620,0;D;B;B;-
210053970862;2021;1;3541000;359,3;512,1;480,0;425,4;700,0;F;A;B;-
210051347992;2021;1;3541000;540,3;578,7;571,1;687,3;620,0;E;B;B;-
210053510303;2021;3;3541000;514,8;675,9;618,2;545,8;680,0;G;B;B;-
210052984077;2021;1;3541000;532,7;599,7;551,5;625,0;720,0;D;D;B;-
210052399381;2021;3;3541000;;;;;;F;A;B;-
210054357958;2021;1;3541000;506,5;483,8;501,5;553,5;560,0;C;B;B;-
210054348013;2021;1;3541000;;;;;;A;A;B;-
210051050050;2021;1;3541000;;;;;;B;A;B;-
210053950957;2021;3;3541000;564,7;593,1;538,9;663,8;700,0;C;B;B;-
210054336718;2021;1;3541000;;;;;;C;A;B;-
210053540330;2021;1;3541000;606,0;637,8;586,8;662,2;880,0;F;B;B;-
210053520029;2021;2;3541000;591,4;623,7;573,4;730,3;820,0;G;C;B;-
210051712098;2021;1;3541000;524,5;598,7;571,5;615,5;680,0;C;B;B;-
210053061505;2021;2;3541000;418,7;460,1;428,6;378,6;680,0;E;A;B;-
210051958899;2021;1;3541000;605,5;560,1;555,8;566,7;700,0;G;C;B;-
210053484813;2021;3;3541000;581,4;576,5;503,6;644,4;680,0;I;B;B;-
210052747429;2021;2;3541000;408,5;491,1;399,7;374,3;700,0;A;A;A;-
210051647206;2021;3;3541000;471,4;536,4;527,4;529,3;640,0;F;B;B;-
210053949821;2021;2;3541000;;;;;;C;A;B;-
210051101201;2021;3;3541000;;;;;;G;D;B;-
210054367282;2021;2;3541000;457,2;575,4;594,8;382,5;520,0;C;B;A;-
210053487603;2021;1;3541000;431,5;537,4;546,7;580,7;560,0;D;A;B;-
210052213375;2021;1;3541000;602,7;620,3;585,4;580,1;640,0;F;B;B;-
210053072282;2021;3;3541000;589,2;618,1;586,5;660,0;560,0;H;C;B;-
210052187664;2021;3;3541000;395,2;456,9;452,2;503,1;420,0;B;A;A;-
210051913870;2021;1;3541000;;;;;;I;A;B;-
210051097012;2021;2;3541000;466,9;352,2;424,1;412,2;380,0;F;B;B;-
210051452408;2021;1;3541000;423,8;444,8;467,8;402,9;400,0;D;A;B;-
210052842562;2021;1;3541000;467,7;409,8;443,8;454,1;500,0;E;B;B;-
210052677539;2021;1;3541000;477,0;521,6;478,5;525,4;860,0;E;B;B;-
210054399086;2021;3;3541000;561,4;621,4;603,7;396,4;760,0;E;B;B;-
210051103820;2021;1;3541000;455,9;391,6;412,8;370,1;440,0;C;A;B;-
210051050922;2021;2;3541000;463,5;396,2;444,3;566,6;580,0;C;B;B;-
210053946552;2021;3;3541000;479,1;518,4;543,9;401,2;620,0;D;A;B;-
210054381300;2021;3;3541000;;;;;;C;A;B;-
210051641325;2021;1;3541000;493,2;540,3;476,6;704,0;660,0;D;B;B;-
210052684559;2021;2;3541000;;;;;;D;B;B;-
210054375261;2021;1;3541000;543,4;689,1;613,4;636,2;680,0;C;B;B;-
210053511151;2021;3;3541000;586,8;637,7;606,3;674,4;620,0;G;C;B;-
210052571774;2021;3;3541000;551,7;650,8;576,3;574,4;840,0;D;B;B;-
210052696825;2021;2;3541000;439,3;536,4;396,4;363,0;600,0;C;A;B;-
210052536205;2021;1;3541000;628,0;691,6;644,4;798,4;740,0;L;D;B;-
210051998497;2021;1;3541000;;;;;;C;A;B;-
210054398256;2021;1;3541000;495,3;579,6;488,4;720,0;900,0;D;B;B;-
210051109710;2021;1;3541000;542,0;669,2;560,6;479,7;600,0;B;B;B;-
210051999204;2021;3;3541000;446,6;605,3;538,3;543,3;560,0;D;B;B;-
210053971392;2021;1;3541000;;453,2;431,3;;640,0;D;A;B;-
210053529563;2021;1;3541000;436,7;475,8;408,4;498,7;600,0;K;B;B;-
210052078162;2021;2;3541000;401,1;450,3;440,8;448,4;560,0;C;B;B;-
210051691490;2021;4;3541000;423,3;470,9;398,7;519,6;520,0;D;B;A;-
210052174633;2021;3;3541000;;;;;;C;B;B;-
210051081241;2021;1;3541000;612,5;603,5;678,2;740,5;860,0;G;D;B;-
210052873909;2021;3;3541000;;;;;;F;B;B;-
210053148992;2021;1;3541000;536,7;626,5;558,1;495,9;700,0;E;B;B;-
210053956820;2021;1;3541000;345,5;449,3;443,7;523,8;500,0;B;A;B;-
210053939940;2021;2;3541000;601,5;655,0;574,9;679,2;720,0;C;B;B;-
210053954389;2021;2;3541000;417,2;461,6;460,3;413,5;740,0;C;B;B;-
210053086660;2021;3;3541000;;;;;;G;B;B;-
210051796937;2021;1;3541000;460,7;407,8;458,9;547,7;540,0;E;A;B;-
210051354595;2021;1;3541000;545,6;665,9;596,6;644,2;620,0;M;D;B;-
210051078760;2021;1;3541000;423,4;356,5;534,2;509,8;680,0;C;B;B;-
210051128180;2021;3;3541000;422,9;566,5;543,0;508,0;560,0;C;A;B;-
210054404134;2021;1;3541000;526,8;576,1;482,6;685,6;760,0;C;A;B;-
210054391046;2021;1;3541000;514,7;384,8;400,7;419,0;540,0;C;B;B;-
210051871424;2021;3;3541000;474,9;434,1;400,6;397,7;440,0;J;A;B;-
210052730318;2021;1;3541000;364,3;408,1;395,1;436,0;500,0;C;B;B;-
210054398059;2021;1;3541000;;;;;;A;B;B;-
210052760173;2021;1;3541000;;569,4;460,2;;620,0;C;A;B;-
210051318419;2021;1;3541000;473,3;425,0;405,5;582,0;460,0;D;A;B;-
210054359663;2021;3;3541000;503,4;515,0;552,8;468,9;660,0;I;A;B;-
210053132189;2021;1;3541000;544,1;654,1;567,3;548,6;680,0;D;B;B;-
210052151148;2021;0;3541000;;;;;;F;B;B;-
210052295718;2021;1;3541000;389,9;460,0;451,3;486,4;560,0;E;A;B;-
210054350320;2021;1;3541000;657,5;746,8;663,0;768,9;920,0;N;D;B;-
210052449818;2021;1;3541000;441,4;503,5;564,0;544,0;560,0;C;A;B;-
210051349465;2021;1;3541000;617,5;531,2;552,3;630,2;600,0;G;B;B;-
210052867410;2021;3;3541000;577,1;474,7;546,7;638,9;660,0;G;B;B;-
210052455691;2021;1;3541000;399,5;518,2;527,0;402,1;560,0;B;B;B;-
210054400741;2021;1;3541000;;406,9;514,0;;580,0;D;B;B;-
210053919657;2021;1;3541000;;;;;;C;A;B;-
210053473262;2021;3;3541000;;;;;;D;A;B;-
210051950581;2021;2;3541000;458,8;429,2;392,8;409,2;580,0;B;A;A;-
210053011638;2021;3;3541000;529,4;608,2;606,2;637,9;640,0;B;A;B;-
210053949568;2021;1;3541000;348,7;614,6;582,8;394,7;680,0;F;A;B;-
210052397624;2021;1;3541000;;;;;;D;A;B;-
210053541947;2021;2;3541000;437,9;533,5;548,8;449,4;580,0;C;B;B;-
210053109418;2021;3;3541000;531,6;565,1;531,3;443,4;400,0;C;D;B;-
210053514573;2021;1;3541000;570,3;618,7;553,0;600,5;580,0;H;C;B;-
210053521309;2021;2;3541000;;;;;;D;A;B;-
210051948810;2021;1;3541000;;498,2;497,7;;660,0;D;B;B;-
210053958574;2021;2;3541000;441,2;468,2;551,6;477,5;500,0;D;B;B;-
210053527934;2021;1;3541000;549,3;642,3;580,0;537,6;660,0;F;A;B;-
210052050738;2021;1;3541000;352,8;533,1;502,0;403,7;700,0;G;B;B;-
210053537994;2021;1;3541000;511,4;622,5;530,2;612,4;700,0;C;B;B;-
210052981056;2021;1;3541000;461,9;511,8;515,6;462,1;580,0;D;C;B;-
210053935574;2021;3;3541000;;;;;;C;A;B;-
210051233309;2021;2;3541000;408,2;573,0;563,1;648,3;720,0;F;B;B;-
210052980685;2021;3;3541000;;;;;;B;A;B;-
210053044278;2021;2;3541000;;;;;;C;A;B;-
210051970673;2021;2;3541000;;;;;;D;A;B;-
210054389520;2021;3;3541000;445,0;465,5;480,3;472,6;500,0;E;A;B;-
210051358519;2021;3;3541000;595,3;630,0;560,0;614,3;780,0;F;B;B;-
210051168867;2021;3;3541000;543,3;627,2;514,0;563,9;620,0;D;B;B;-
210053911085;2021;3;3541000;380,4;480,4;492,4;416,7;500,0;E;B;B;-
210051972014;2021;1;3541000;558,0;584,6;472,6;702,1;900,0;E;C;B;-
210053915169;2021;1;3541000;423,5;527,8;453,1;477,9;520,0;D;B;B;-
210052344556;2021;1;3541000;;;;;;D;A;B;-
210053541369;2021;1;3541000;446,9;607,5;453,2;614,7;780,0;F;B;B;-
210053960255;2021;3;3541000;403,5;509,3;478,4;490,9;540,0;E;A;B;-
210052361410;2021;3;3541000;;;;;;C;B;B;-
210053934873;2021;3;3541000;;426,4;413,8;;560,0;B;A;B;-
210051827196;2021;1;3541000;611,3;606,7;591,8;752,1;820,0;H;D;B;-
210053496054;2021;1;3541000;681,8;657,7;619,3;793,2;920,0;D;B;B;-
210051466733;2021;1;3541000;;;;;;B;A;B;-
210051970369;2021;3;3541000;451,2;557,4;542,7;541,8;520,0;F;A;B;-
